Unidade de Despesa;Grupo Orçamentário;Fonte de Recurso;Função;Subfunção;Elemento;Dotação Inicial (R$);Dotação Atual (R$);Empenhado (R$);Liquidado (R$);Pago (R$);Pago Restos (R$)
92 - Agência USP de Cooperação Acadêmica Nacional e Internacional;0 - Básica;4 - Receita;12 - Educação;122 - Administração Geral;339014 - Diárias - Civil;0,00;0,00;0,00;0,00;0,00;0,00
92 - Agência USP de Cooperação Acadêmica Nacional e Internacional;0 - Básica;4 - Receita;12 - Educação;122 - Administração Geral;339030 - Material de Consumo;0,00;0,00;0,00;0,00;0,00;2716,60
92 - Agência USP de Cooperação Acadêmica Nacional e Internacional;0 - Básica;4 - Receita;12 - Educação;122 - Administração Geral;339033 - Passagens e despesas com Locomoção;0,00;0,00;0,00;0,00;0,00;36894,26
92 - Agência USP de Cooperação Acadêmica Nacional e Internacional;0 - Básica;4 - Receita;12 - Educação;122 - Administração Geral;339036 - Outros Serviços de Terceiros - Pessoa Física;0,00;0,00;0,00;0,00;0,00;0,00
92 - Agência USP de Cooperação Acadêmica Nacional e Internacional;0 - Básica;4 - Receita;12 - Educação;122 - Administração Geral;339037 - Serviços Limpeza, Vigilância e Outros - PJ;0,00;0,00;0,00;0,00;0,00;0,00
92 - Agência USP de Cooperação Acadêmica Nacional e Internacional;0 - Básica;4 - Receita;12 - Educação;122 - Administração Geral;339039 - Outros Serviços de Terceiros - PJ;0,00;0,00;0,00;0,00;0,00;0,00
92 - Agência USP de Cooperação Acadêmica Nacional e Internacional;0 - Básica;4 - Receita;12 - Educação;122 - Administração Geral;449052 - Equipamentos e Material Permanente;0,00;0,00;0,00;0,00;0,00;0,00
92 - Agência USP de Cooperação Acadêmica Nacional e Internacional;3 - Manutenção e Reposição de Equip. de Informática;1 - Tesouro;12 - Educação;364 - Ensino Superior;339030 - Material de Consumo;0,00;2907,75;2907,75;2907,75;2907,75;0,00
92 - Agência USP de Cooperação Acadêmica Nacional e Internacional;3 - Manutenção e Reposição de Equip. de Informática;1 - Tesouro;12 - Educação;364 - Ensino Superior;339039 - Outros Serviços de Terceiros - PJ;4761,00;0,00;0,00;0,00;0,00;0,00
92 - Agência USP de Cooperação Acadêmica Nacional e Internacional;3 - Manutenção e Reposição de Equip. de Informática;1 - Tesouro;12 - Educação;364 - Ensino Superior;449052 - Equipamentos e Material Permanente;0,00;2760,00;2760,00;2760,00;2760,00;0,00
92 - Agência USP de Cooperação Acadêmica Nacional e Internacional;31 - Serviços Terceirizados;1 - Tesouro;12 - Educação;122 - Administração Geral;339037 - Serviços Limpeza, Vigilância e Outros - PJ;0,00;393957,79;393957,79;361129,15;328475,70;11678,84
92 - Agência USP de Cooperação Acadêmica Nacional e Internacional;31 - Serviços Terceirizados;1 - Tesouro;12 - Educação;122 - Administração Geral;339039 - Outros Serviços de Terceiros - PJ;518623,00;0,00;0,00;0,00;0,00;0,00
92 - Agência USP de Cooperação Acadêmica Nacional e Internacional;31 - Serviços Terceirizados;4 - Receita;12 - Educação;122 - Administração Geral;339037 - Serviços Limpeza, Vigilância e Outros - PJ;0,00;0,00;0,00;0,00;0,00;0,00
92 - Agência USP de Cooperação Acadêmica Nacional e Internacional;179 - Convênios;1 - Tesouro;12 - Educação;122 - Administração Geral;339039 - Outros Serviços de Terceiros - PJ;0,00;0,00;0,00;0,00;0,00;0,00
92 - Agência USP de Cooperação Acadêmica Nacional e Internacional;179 - Convênios;4 - Receita;12 - Educação;122 - Administração Geral;339018 - Auxílio Financeiro a Estudantes;0,00;0,00;0,00;0,00;0,00;0,00
92 - Agência USP de Cooperação Acadêmica Nacional e Internacional;179 - Convênios;4 - Receita;12 - Educação;364 - Ensino Superior;339018 - Auxílio Financeiro a Estudantes;0,00;0,00;0,00;0,00;0,00;0,00
92 - Agência USP de Cooperação Acadêmica Nacional e Internacional;179 - Convênios;4 - Receita;12 - Educação;364 - Ensino Superior;339036 - Outros Serviços de Terceiros - Pessoa Física;0,00;0,00;0,00;0,00;0,00;0,00
92 - Agência USP de Cooperação Acadêmica Nacional e Internacional;179 - Convênios;4 - Receita;12 - Educação;364 - Ensino Superior;339039 - Outros Serviços de Terceiros - PJ;0,00;0,00;0,00;0,00;0,00;0,00
92 - Agência USP de Cooperação Acadêmica Nacional e Internacional;179 - Convênios;4 - Receita;12 - Educação;392 - Difusão Cultural;339018 - Auxílio Financeiro a Estudantes;0,00;0,00;0,00;0,00;0,00;0,00
92 - Agência USP de Cooperação Acadêmica Nacional e Internacional;246 - Programa de Bolsas Intercâmbio Internacional;1 - Tesouro;12 - Educação;122 - Administração Geral;339018 - Auxílio Financeiro a Estudantes;0,00;0,00;0,00;0,00;0,00;0,00
92 - Agência USP de Cooperação Acadêmica Nacional e Internacional;246 - Programa de Bolsas Intercâmbio Internacional;1 - Tesouro;12 - Educação;122 - Administração Geral;339039 - Outros Serviços de Terceiros - PJ;0,00;0,00;0,00;0,00;0,00;0,00
92 - Agência USP de Cooperação Acadêmica Nacional e Internacional;246 - Programa de Bolsas Intercâmbio Internacional;1 - Tesouro;12 - Educação;364 - Ensino Superior;339018 - Auxílio Financeiro a Estudantes;0,00;1591000,00;1591000,00;1591000,00;1591000,00;56500,00
92 - Agência USP de Cooperação Acadêmica Nacional e Internacional;246 - Programa de Bolsas Intercâmbio Internacional;1 - Tesouro;12 - Educação;364 - Ensino Superior;339039 - Outros Serviços de Terceiros - PJ;8000000,00;0,00;0,00;0,00;0,00;0,00
92 - Agência USP de Cooperação Acadêmica Nacional e Internacional;246 - Programa de Bolsas Intercâmbio Internacional;4 - Receita;12 - Educação;364 - Ensino Superior;339018 - Auxílio Financeiro a Estudantes;0,00;0,00;0,00;0,00;0,00;0,00
92 - Agência USP de Cooperação Acadêmica Nacional e Internacional;259 - Despesas com Transportes;1 - Tesouro;12 - Educação;364 - Ensino Superior;339039 - Outros Serviços de Terceiros - PJ;0,00;0,00;0,00;0,00;0,00;0,00
92 - Agência USP de Cooperação Acadêmica Nacional e Internacional;263 - Convênios Santander;4 - Receita;12 - Educação;364 - Ensino Superior;339018 - Auxílio Financeiro a Estudantes;0,00;170000,00;170000,00;170000,00;170000,00;310000,00
92 - Agência USP de Cooperação Acadêmica Nacional e Internacional;263 - Convênios Santander;4 - Receita;12 - Educação;364 - Ensino Superior;339020 - Auxílio Financeiro a Pesquisadores;0,00;0,00;0,00;0,00;0,00;0,00
92 - Agência USP de Cooperação Acadêmica Nacional e Internacional;263 - Convênios Santander;4 - Receita;12 - Educação;364 - Ensino Superior;339039 - Outros Serviços de Terceiros - PJ;0,00;0,00;0,00;0,00;0,00;0,00
92 - Agência USP de Cooperação Acadêmica Nacional e Internacional;263 - Convênios Santander;4 - Receita;12 - Educação;364 - Ensino Superior;339048 - Outros Auxílios Financeiros a Pessoas Físicas;0,00;0,00;0,00;0,00;0,00;0,00
101 - Agência USP Inovação;0 - Básica;1 - Tesouro;12 - Educação;122 - Administração Geral;339014 - Diárias - Civil;0,00;44661,37;44661,37;44661,37;44661,37;0,00
101 - Agência USP Inovação;0 - Básica;1 - Tesouro;12 - Educação;122 - Administração Geral;339030 - Material de Consumo;0,00;7219,00;7219,00;7219,00;7219,00;0,00
101 - Agência USP Inovação;0 - Básica;1 - Tesouro;12 - Educação;122 - Administração Geral;339031 - Premiações Cult, Art, Cient, Desport e Outras;0,00;6000,00;6000,00;0,00;0,00;0,00
101 - Agência USP Inovação;0 - Básica;1 - Tesouro;12 - Educação;122 - Administração Geral;339032 - Mat, Bem ou Serviço para Distr Gratuita;0,00;0,00;0,00;0,00;0,00;0,00
101 - Agência USP Inovação;0 - Básica;1 - Tesouro;12 - Educação;122 - Administração Geral;339033 - Passagens e despesas com Locomoção;0,00;25018,78;25018,78;22846,04;19007,18;4440,46
101 - Agência USP Inovação;0 - Básica;1 - Tesouro;12 - Educação;122 - Administração Geral;339035 - Serviços de Consultoria;0,00;0,00;0,00;0,00;0,00;0,00
101 - Agência USP Inovação;0 - Básica;1 - Tesouro;12 - Educação;122 - Administração Geral;339036 - Outros Serviços de Terceiros - Pessoa Física;0,00;0,00;0,00;0,00;0,00;0,00
101 - Agência USP Inovação;0 - Básica;1 - Tesouro;12 - Educação;122 - Administração Geral;339037 - Serviços Limpeza, Vigilância e Outros - PJ;0,00;0,00;0,00;0,00;0,00;0,00
101 - Agência USP Inovação;0 - Básica;1 - Tesouro;12 - Educação;122 - Administração Geral;339039 - Outros Serviços de Terceiros - PJ;1508998,00;550233,79;550078,71;512087,19;509044,31;54346,89
101 - Agência USP Inovação;0 - Básica;1 - Tesouro;12 - Educação;122 - Administração Geral;339092 - Despesas de Exercícios Anteriores;0,00;0,00;0,00;0,00;0,00;0,00
101 - Agência USP Inovação;0 - Básica;1 - Tesouro;12 - Educação;122 - Administração Geral;339093 - Indenizações e Restituições;0,00;0,00;0,00;0,00;0,00;0,00
101 - Agência USP Inovação;0 - Básica;1 - Tesouro;12 - Educação;122 - Administração Geral;339139 - Outros Serviços Terceiros - Pessoa Jurídica;0,00;0,00;0,00;0,00;0,00;0,00
101 - Agência USP Inovação;0 - Básica;1 - Tesouro;12 - Educação;122 - Administração Geral;349036 - Outros Serviços de Terceiros - Pessoa Física;0,00;0,00;0,00;0,00;0,00;0,00
101 - Agência USP Inovação;0 - Básica;1 - Tesouro;12 - Educação;122 - Administração Geral;449051 - Obras e instalações;0,00;0,00;0,00;0,00;0,00;0,00
101 - Agência USP Inovação;0 - Básica;1 - Tesouro;12 - Educação;122 - Administração Geral;449052 - Equipamentos e Material Permanente;0,00;39862,18;39862,18;39862,18;29673,18;0,00
101 - Agência USP Inovação;0 - Básica;1 - Tesouro;12 - Educação;122 - Administração Geral;459061 - Aquisição de Imóveis;0,00;0,00;0,00;0,00;0,00;0,00
101 - Agência USP Inovação;0 - Básica;1 - Tesouro;12 - Educação;364 - Ensino Superior;339039 - Outros Serviços de Terceiros - PJ;0,00;0,00;0,00;0,00;0,00;0,00
101 - Agência USP Inovação;0 - Básica;1 - Tesouro;12 - Educação;364 - Ensino Superior;449052 - Equipamentos e Material Permanente;0,00;0,00;0,00;0,00;0,00;0,00
101 - Agência USP Inovação;0 - Básica;4 - Receita;12 - Educação;122 - Administração Geral;339014 - Diárias - Civil;0,00;0,00;0,00;0,00;0,00;0,00
101 - Agência USP Inovação;0 - Básica;4 - Receita;12 - Educação;122 - Administração Geral;339030 - Material de Consumo;0,00;0,00;0,00;0,00;0,00;2686,40
101 - Agência USP Inovação;0 - Básica;4 - Receita;12 - Educação;122 - Administração Geral;339033 - Passagens e despesas com Locomoção;0,00;0,00;0,00;0,00;0,00;0,00
101 - Agência USP Inovação;0 - Básica;4 - Receita;12 - Educação;122 - Administração Geral;339036 - Outros Serviços de Terceiros - Pessoa Física;0,00;0,00;0,00;0,00;0,00;0,00
101 - Agência USP Inovação;0 - Básica;4 - Receita;12 - Educação;122 - Administração Geral;339037 - Serviços Limpeza, Vigilância e Outros - PJ;0,00;0,00;0,00;0,00;0,00;0,00
101 - Agência USP Inovação;0 - Básica;4 - Receita;12 - Educação;122 - Administração Geral;339039 - Outros Serviços de Terceiros - PJ;0,00;0,00;0,00;0,00;0,00;1262,02
101 - Agência USP Inovação;0 - Básica;4 - Receita;12 - Educação;122 - Administração Geral;339093 - Indenizações e Restituições;0,00;0,00;0,00;0,00;0,00;0,00
101 - Agência USP Inovação;0 - Básica;4 - Receita;12 - Educação;122 - Administração Geral;449052 - Equipamentos e Material Permanente;0,00;0,00;0,00;0,00;0,00;0,00
101 - Agência USP Inovação;0 - Básica;4 - Receita;12 - Educação;364 - Ensino Superior;339039 - Outros Serviços de Terceiros - PJ;0,00;0,00;0,00;0,00;0,00;0,00
101 - Agência USP Inovação;0 - Básica;5 - Recursos vinculados Federais;12 - Educação;122 - Administração Geral;339014 - Diárias - Civil;0,00;0,00;0,00;0,00;0,00;0,00
101 - Agência USP Inovação;1 - Manutenção de Edifícios;1 - Tesouro;12 - Educação;122 - Administração Geral;339039 - Outros Serviços de Terceiros - PJ;14677,00;0,00;0,00;0,00;0,00;0,00
101 - Agência USP Inovação;2 - Equipamentos de Segurança;1 - Tesouro;12 - Educação;122 - Administração Geral;339039 - Outros Serviços de Terceiros - PJ;2202,00;0,00;0,00;0,00;0,00;0,00
101 - Agência USP Inovação;3 - Manutenção e Reposição de Equip. de Informática;1 - Tesouro;12 - Educação;122 - Administração Geral;339039 - Outros Serviços de Terceiros - PJ;0,00;0,00;0,00;0,00;0,00;0,00
101 - Agência USP Inovação;3 - Manutenção e Reposição de Equip. de Informática;1 - Tesouro;12 - Educação;364 - Ensino Superior;339039 - Outros Serviços de Terceiros - PJ;12788,00;0,00;0,00;0,00;0,00;0,00
101 - Agência USP Inovação;4 - Treinamento de Servidores;1 - Tesouro;12 - Educação;122 - Administração Geral;339039 - Outros Serviços de Terceiros - PJ;0,00;0,00;0,00;0,00;0,00;0,00
101 - Agência USP Inovação;4 - Treinamento de Servidores;4 - Receita;12 - Educação;122 - Administração Geral;339039 - Outros Serviços de Terceiros - PJ;0,00;0,00;0,00;0,00;0,00;0,00
101 - Agência USP Inovação;31 - Serviços Terceirizados;1 - Tesouro;12 - Educação;122 - Administração Geral;339037 - Serviços Limpeza, Vigilância e Outros - PJ;0,00;29155,35;29155,35;25801,74;22124,94;93233,82
101 - Agência USP Inovação;31 - Serviços Terceirizados;1 - Tesouro;12 - Educação;122 - Administração Geral;339039 - Outros Serviços de Terceiros - PJ;588918,00;581985,55;581985,55;530677,15;481724,65;0,00
101 - Agência USP Inovação;82 - Patentes;4 - Receita;12 - Educação;122 - Administração Geral;339039 - Outros Serviços de Terceiros - PJ;0,00;0,00;0,00;0,00;0,00;0,00
101 - Agência USP Inovação;170 - Condomínio Reitoria Antiga;1 - Tesouro;12 - Educação;122 - Administração Geral;339039 - Outros Serviços de Terceiros - PJ;0,00;0,00;0,00;0,00;0,00;0,00
101 - Agência USP Inovação;170 - Condomínio Reitoria Antiga;4 - Receita;12 - Educação;122 - Administração Geral;339030 - Material de Consumo;0,00;0,00;0,00;0,00;0,00;0,00
101 - Agência USP Inovação;170 - Condomínio Reitoria Antiga;4 - Receita;12 - Educação;122 - Administração Geral;339039 - Outros Serviços de Terceiros - PJ;0,00;0,00;0,00;0,00;0,00;0,00
101 - Agência USP Inovação;170 - Condomínio Reitoria Antiga;4 - Receita;12 - Educação;122 - Administração Geral;449051 - Obras e instalações;0,00;0,00;0,00;0,00;0,00;0,00
101 - Agência USP Inovação;170 - Condomínio Reitoria Antiga;4 - Receita;12 - Educação;122 - Administração Geral;449052 - Equipamentos e Material Permanente;0,00;0,00;0,00;0,00;0,00;0,00
101 - Agência USP Inovação;179 - Convênios;4 - Receita;12 - Educação;364 - Ensino Superior;339014 - Diárias - Civil;0,00;0,00;0,00;0,00;0,00;0,00
101 - Agência USP Inovação;179 - Convênios;4 - Receita;12 - Educação;364 - Ensino Superior;339030 - Material de Consumo;0,00;15250,00;15250,00;15250,00;15250,00;0,00
101 - Agência USP Inovação;179 - Convênios;4 - Receita;12 - Educação;364 - Ensino Superior;339033 - Passagens e despesas com Locomoção;0,00;0,00;0,00;0,00;0,00;0,00
101 - Agência USP Inovação;179 - Convênios;4 - Receita;12 - Educação;364 - Ensino Superior;339036 - Outros Serviços de Terceiros - Pessoa Física;0,00;0,00;0,00;0,00;0,00;0,00
101 - Agência USP Inovação;179 - Convênios;4 - Receita;12 - Educação;364 - Ensino Superior;339039 - Outros Serviços de Terceiros - PJ;0,00;19804,00;19804,00;19804,00;19804,00;0,00
101 - Agência USP Inovação;179 - Convênios;5 - Recursos vinculados Federais;12 - Educação;122 - Administração Geral;339014 - Diárias - Civil;0,00;0,00;0,00;0,00;0,00;0,00
101 - Agência USP Inovação;179 - Convênios;5 - Recursos vinculados Federais;12 - Educação;122 - Administração Geral;339039 - Outros Serviços de Terceiros - PJ;0,00;0,00;0,00;0,00;0,00;0,00
101 - Agência USP Inovação;179 - Convênios;5 - Recursos vinculados Federais;12 - Educação;122 - Administração Geral;449039 - Outros Serviços Terceiros - Pessoa Jurídica;0,00;0,00;0,00;0,00;0,00;0,00
101 - Agência USP Inovação;246 - Programa de Bolsas Intercâmbio Internacional;1 - Tesouro;12 - Educação;364 - Ensino Superior;339018 - Auxílio Financeiro a Estudantes;0,00;0,00;0,00;0,00;0,00;0,00
101 - Agência USP Inovação;259 - Despesas com Transportes;1 - Tesouro;12 - Educação;122 - Administração Geral;339039 - Outros Serviços de Terceiros - PJ;0,00;0,00;0,00;0,00;0,00;0,00
101 - Agência USP Inovação;263 - Convênios Santander;4 - Receita;12 - Educação;364 - Ensino Superior;339018 - Auxílio Financeiro a Estudantes;0,00;0,00;0,00;0,00;0,00;0,00
107 - Assistência Médica e Odontológica;180 - Assistência Médica e Odontológica;1 - Tesouro;10 - Saúde;302 - Assistência Hospitalar e Ambulatorial;339039 - Outros Serviços de Terceiros - PJ;0,00;0,00;0,00;0,00;0,00;0,00
107 - Assistência Médica e Odontológica;180 - Assistência Médica e Odontológica;1 - Tesouro;10 - Saúde;302 - Assistência Hospitalar e Ambulatorial;339092 - Despesas de Exercícios Anteriores;0,00;0,00;0,00;0,00;0,00;0,00
107 - Assistência Médica e Odontológica;180 - Assistência Médica e Odontológica;1 - Tesouro;12 - Educação;122 - Administração Geral;339039 - Outros Serviços de Terceiros - PJ;0,00;0,00;0,00;0,00;0,00;0,00
107 - Assistência Médica e Odontológica;180 - Assistência Médica e Odontológica;1 - Tesouro;12 - Educação;364 - Ensino Superior;339014 - Diárias - Civil;0,00;4412,32;4412,32;4412,32;4412,32;0,00
107 - Assistência Médica e Odontológica;180 - Assistência Médica e Odontológica;1 - Tesouro;12 - Educação;364 - Ensino Superior;339030 - Material de Consumo;0,00;2930,28;2930,28;2930,28;2930,28;0,00
107 - Assistência Médica e Odontológica;180 - Assistência Médica e Odontológica;1 - Tesouro;12 - Educação;364 - Ensino Superior;339033 - Passagens e despesas com Locomoção;0,00;75,00;75,00;0,00;0,00;0,00
107 - Assistência Médica e Odontológica;180 - Assistência Médica e Odontológica;1 - Tesouro;12 - Educação;364 - Ensino Superior;339039 - Outros Serviços de Terceiros - PJ;26553278,00;28549388,16;28549388,16;25406879,45;23511587,40;3108608,46
107 - Assistência Médica e Odontológica;180 - Assistência Médica e Odontológica;1 - Tesouro;12 - Educação;364 - Ensino Superior;339092 - Despesas de Exercícios Anteriores;0,00;2053359,86;2053359,86;2053359,86;2053359,86;0,00
107 - Assistência Médica e Odontológica;180 - Assistência Médica e Odontológica;1 - Tesouro;12 - Educação;364 - Ensino Superior;449052 - Equipamentos e Material Permanente;0,00;0,00;0,00;0,00;0,00;0,00
107 - Assistência Médica e Odontológica;180 - Assistência Médica e Odontológica;4 - Receita;12 - Educação;122 - Administração Geral;339014 - Diárias - Civil;0,00;0,00;0,00;0,00;0,00;0,00
107 - Assistência Médica e Odontológica;180 - Assistência Médica e Odontológica;4 - Receita;12 - Educação;122 - Administração Geral;339039 - Outros Serviços de Terceiros - PJ;0,00;0,00;0,00;0,00;0,00;0,00
107 - Assistência Médica e Odontológica;180 - Assistência Médica e Odontológica;4 - Receita;12 - Educação;122 - Administração Geral;339092 - Despesas de Exercícios Anteriores;0,00;0,00;0,00;0,00;0,00;0,00
107 - Assistência Médica e Odontológica;180 - Assistência Médica e Odontológica;4 - Receita;12 - Educação;364 - Ensino Superior;339039 - Outros Serviços de Terceiros - PJ;0,00;0,00;0,00;0,00;0,00;222542,08
107 - Assistência Médica e Odontológica;259 - Despesas com Transportes;1 - Tesouro;12 - Educação;364 - Ensino Superior;339039 - Outros Serviços de Terceiros - PJ;0,00;0,00;0,00;0,00;0,00;0,00
30 - Centro de Biologia Marinha;0 - Básica;1 - Tesouro;12 - Educação;122 - Administração Geral;339039 - Outros Serviços de Terceiros - PJ;0,00;0,00;0,00;0,00;0,00;0,00
30 - Centro de Biologia Marinha;0 - Básica;1 - Tesouro;12 - Educação;364 - Ensino Superior;339014 - Diárias - Civil;0,00;10895,42;10895,42;10895,42;10895,42;0,00
30 - Centro de Biologia Marinha;0 - Básica;1 - Tesouro;12 - Educação;364 - Ensino Superior;339020 - Auxílio Financeiro a Pesquisadores;0,00;0,00;0,00;0,00;0,00;0,00
30 - Centro de Biologia Marinha;0 - Básica;1 - Tesouro;12 - Educação;364 - Ensino Superior;339030 - Material de Consumo;0,00;7766,15;7766,15;7560,75;7560,75;3593,00
30 - Centro de Biologia Marinha;0 - Básica;1 - Tesouro;12 - Educação;364 - Ensino Superior;339033 - Passagens e despesas com Locomoção;0,00;549,85;549,85;549,85;549,85;0,00
30 - Centro de Biologia Marinha;0 - Básica;1 - Tesouro;12 - Educação;364 - Ensino Superior;339036 - Outros Serviços de Terceiros - Pessoa Física;0,00;720,00;720,00;720,00;720,00;0,00
30 - Centro de Biologia Marinha;0 - Básica;1 - Tesouro;12 - Educação;364 - Ensino Superior;339037 - Serviços Limpeza, Vigilância e Outros - PJ;0,00;0,00;0,00;0,00;0,00;0,00
30 - Centro de Biologia Marinha;0 - Básica;1 - Tesouro;12 - Educação;364 - Ensino Superior;339039 - Outros Serviços de Terceiros - PJ;150215,00;110613,99;110613,99;102015,27;97015,27;1176,37
30 - Centro de Biologia Marinha;0 - Básica;1 - Tesouro;12 - Educação;364 - Ensino Superior;339092 - Despesas de Exercícios Anteriores;0,00;244,01;244,01;244,01;244,01;0,00
30 - Centro de Biologia Marinha;0 - Básica;1 - Tesouro;12 - Educação;364 - Ensino Superior;449051 - Obras e instalações;0,00;0,00;0,00;0,00;0,00;0,00
30 - Centro de Biologia Marinha;0 - Básica;1 - Tesouro;12 - Educação;364 - Ensino Superior;449052 - Equipamentos e Material Permanente;0,00;13834,96;13834,96;13834,96;1892,14;0,00
30 - Centro de Biologia Marinha;0 - Básica;1 - Tesouro;12 - Educação;364 - Ensino Superior;449092 - Despesas de Exercícios Anteriores;0,00;0,00;0,00;0,00;0,00;0,00
30 - Centro de Biologia Marinha;0 - Básica;4 - Receita;12 - Educação;122 - Administração Geral;319011 - Vencimentos e Vantagens Fixas - Pessoal Civil;0,00;0,00;0,00;0,00;0,00;0,00
30 - Centro de Biologia Marinha;0 - Básica;4 - Receita;12 - Educação;122 - Administração Geral;339014 - Diárias - Civil;0,00;0,00;0,00;0,00;0,00;0,00
30 - Centro de Biologia Marinha;0 - Básica;4 - Receita;12 - Educação;122 - Administração Geral;339030 - Material de Consumo;0,00;3040,24;3040,24;3040,24;3040,24;0,00
30 - Centro de Biologia Marinha;0 - Básica;4 - Receita;12 - Educação;122 - Administração Geral;339033 - Passagens e despesas com Locomoção;0,00;0,00;0,00;0,00;0,00;0,00
30 - Centro de Biologia Marinha;0 - Básica;4 - Receita;12 - Educação;122 - Administração Geral;339037 - Serviços Limpeza, Vigilância e Outros - PJ;0,00;0,00;0,00;0,00;0,00;0,00
30 - Centro de Biologia Marinha;0 - Básica;4 - Receita;12 - Educação;122 - Administração Geral;339039 - Outros Serviços de Terceiros - PJ;0,00;3100,00;3100,00;3100,00;3100,00;8095,16
30 - Centro de Biologia Marinha;0 - Básica;4 - Receita;12 - Educação;122 - Administração Geral;449052 - Equipamentos e Material Permanente;0,00;7422,30;7422,30;7422,30;7422,30;0,00
30 - Centro de Biologia Marinha;0 - Básica;4 - Receita;12 - Educação;364 - Ensino Superior;339014 - Diárias - Civil;0,00;3000,00;3000,00;2110,89;2110,89;0,00
30 - Centro de Biologia Marinha;0 - Básica;4 - Receita;12 - Educação;364 - Ensino Superior;339030 - Material de Consumo;0,00;0,00;0,00;0,00;0,00;0,00
30 - Centro de Biologia Marinha;0 - Básica;4 - Receita;12 - Educação;364 - Ensino Superior;339033 - Passagens e despesas com Locomoção;0,00;737,50;737,50;618,10;618,10;0,00
30 - Centro de Biologia Marinha;0 - Básica;4 - Receita;12 - Educação;364 - Ensino Superior;339036 - Outros Serviços de Terceiros - Pessoa Física;0,00;0,00;0,00;0,00;0,00;0,00
30 - Centro de Biologia Marinha;0 - Básica;4 - Receita;12 - Educação;364 - Ensino Superior;339039 - Outros Serviços de Terceiros - PJ;0,00;45759,61;44677,25;44677,25;44677,25;0,00
30 - Centro de Biologia Marinha;0 - Básica;4 - Receita;12 - Educação;364 - Ensino Superior;449052 - Equipamentos e Material Permanente;0,00;0,00;0,00;0,00;0,00;0,00
